ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
OLCLF,2019-04-25T03:00:00.000Z,TAS,44.29,48.44,9.38,EDT,-14400000,EQUITY
NTDOF,2019-04-25T03:00:00.000Z,TAS,154.76,210.22,35.83,EDT,-14400000,EQUITY
TEL,2019-04-24T06:00:00.000Z,TAS,1.27,1.42,11.37,EDT,-14400000,EQUITY
UVSP,2019-04-24T16:15:00.000Z,TAS,0.54,0.55,1.85,EDT,-14400000,EQUITY
CMPRF,2019-04-24T17:52:00.000Z,TAS,0.48,0.51,6.68,EDT,-14400000,EQUITY
APEOD,2019-04-24T17:29:00.000Z,TAS,,,,UTC,0,EQUITY
CAT,2019-04-24T07:30:00.000Z,TAS,2.85,2.94,3.01,EDT,-14400000,EQUITY
CPF,2019-04-24T06:30:00.000Z,TAS,0.5,0.55,9.78,EDT,-14400000,EQUITY
CARO,2019-04-24T16:04:00.000Z,TAS,0.69,0.66,-4.35,UTC,0,EQUITY
CCO,2019-04-24T07:00:00.000Z,TAS,-0.2,-0.45,-124.5,EDT,-14400000,EQUITY
VIST,2019-04-24T20:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FSV,2019-04-24T07:30:00.000Z,TAS,0.33,0.3,-7.69,EDT,-14400000,EQUITY
FELTY,2019-04-25T02:30:00.000Z,TAS,167.1,167.32,0.13,EDT,-14400000,EQUITY
CUZ,2019-04-24T16:21:00.000Z,TAS,0.24,0.32,33.33,EDT,-14400000,EQUITY
CSTM,2019-04-24T06:00:00.000Z,TAS,0.2,0.17,-15,EDT,-14400000,EQUITY
ROIC,2019-04-24T16:15:00.000Z,TAS,0.07,0.12,71.43,EDT,-14400000,EQUITY
NONEF,2019-04-25T02:00:00.000Z,TAS,40.7,42.63,4.74,EDT,-14400000,EQUITY
HICTF,2019-04-25T02:30:00.000Z,TAS,91.6,87.41,-4.57,UTC,0,EQUITY
MCO,2019-04-24T07:00:00.000Z,TAS,1.93,2.07,7.03,EDT,-14400000,EQUITY
NEU,2019-04-24T17:01:00.000Z,TAS,5.81,5.57,-4.13,EDT,-14400000,EQUITY
OSUKF,2019-04-25T02:00:00.000Z,TAS,48.48,52.97,9.26,EDT,-14400000,EQUITY
NSC,2019-04-24T08:00:00.000Z,TAS,2.18,2.51,15.08,EDT,-14400000,EQUITY
GNTX,2019-04-24T08:02:00.000Z,TAS,0.39,0.4,2.3,EDT,-14400000,EQUITY
KYOCY,2019-04-25T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MXCYY,2019-04-25T02:34:00.000Z,TAS,,,,UTC,0,EQUITY
SHG,2019-04-25T02:34:00.000Z,TAS,,,,EDT,-14400000,EQUITY
HOCXF,2019-04-24T17:02:00.000Z,TAS,0.16,0.04,-75.46,EDT,-14400000,EQUITY
MPX,2019-04-24T06:45:00.000Z,TAS,0.17,0.22,33.33,EDT,-14400000,EQUITY
KAEPF,2019-04-25T02:00:00.000Z,TAS,53.47,33.96,-36.49,EDT,-14400000,EQUITY
VESTF,2019-04-24T20:00:00.000Z,TAS,0.03,0.04,42.86,EDT,-14400000,EQUITY
GD,2019-04-24T07:32:00.000Z,TAS,2.42,2.56,5.83,EDT,-14400000,EQUITY
WEEEF,2019-04-24T16:00:00.000Z,TAS,-0.07,-0.08,-8.11,EDT,-14400000,EQUITY
CMO-PE,2019-04-24T16:43:00.000Z,TAS,0.08,0.12,50,UTC,0,EQUITY
CINF,2019-04-24T16:05:00.000Z,TAS,0.88,1.05,20,EDT,-14400000,EQUITY
APEOF,2019-04-24T17:29:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CJPRF,2019-04-25T03:00:00.000Z,TAS,237.95,321.5,35.11,EDT,-14400000,EQUITY
CNMD,2019-04-24T16:01:00.000Z,TAS,0.54,0.57,6.15,EDT,-14400000,EQUITY
GPFOF,2019-04-24T17:00:00.000Z,TAS,0.64,0.52,-19.25,EDT,-14400000,EQUITY
KIMTF,2019-04-24T20:59:00.000Z,TAS,1266.1,1619,27.87,EDT,-14400000,EQUITY
FELTF,2019-04-25T02:30:00.000Z,TAS,167.1,167.32,0.13,EDT,-14400000,EQUITY
CSTR,2019-04-24T16:20:00.000Z,TAS,0.27,0.28,2.19,EDT,-14400000,EQUITY
SCI,2019-04-24T16:15:00.000Z,TAS,0.41,0.47,13.8,EDT,-14400000,EQUITY
CVI,2019-04-24T16:17:00.000Z,TAS,0.49,0.89,80.16,EDT,-14400000,EQUITY
HUKEF,2019-04-25T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ISTR,2019-04-24T18:00:00.000Z,TAS,0.45,0.46,2.68,EDT,-14400000,EQUITY
KRA,2019-04-24T16:19:00.000Z,TAS,0.65,0.88,34.76,EDT,-14400000,EQUITY
KYOCF,2019-04-25T02:00:00.000Z,TAS,38.26,65.77,71.88,EDT,-14400000,EQUITY
ICHMF,2019-04-25T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MTWTF,2019-04-25T02:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
IART,2019-04-24T06:00:00.000Z,TAS,0.61,0.65,6.91,EDT,-14400000,EQUITY
TEPCF,2019-04-25T02:00:00.000Z,TAS,42.45,45.4,6.95,EDT,-14400000,EQUITY
SUI,2019-04-24T16:49:00.000Z,TAS,0.27,0.4,48.15,EDT,-14400000,EQUITY
VLNCD,2019-04-24T19:02:00.000Z,TAS,-0.01,-0.06,-500,UTC,0,EQUITY
KNNKF,2019-04-25T02:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
TRSSF,2019-04-24T08:18:00.000Z,TAS,,,,EDT,-14400000,EQUITY
UAN,2019-04-24T16:23:00.000Z,TAS,-0.3,-0.5,-66.67,EDT,-14400000,EQUITY
CLGX,2019-04-24T16:20:00.000Z,TAS,0.38,0.45,17.8,UTC,0,EQUITY
COR,2019-04-24T16:17:00.000Z,TAS,0.56,0.54,-4.26,UTC,0,EQUITY
CMG,2019-04-24T16:12:00.000Z,TAS,3.01,3.4,12.84,EDT,-14400000,EQUITY
CSFFF,2019-04-24T18:00:00.000Z,TAS,0.01,0.03,172.73,EDT,-14400000,EQUITY
CSCCF,2019-04-24T18:00:00.000Z,TAS,0.01,0.03,172.73,EDT,-14400000,EQUITY
LUNMF,2019-04-24T19:23:00.000Z,TAS,0.07,0.07,6.06,EDT,-14400000,EQUITY
CHDN,2019-04-24T16:37:00.000Z,TAS,0.4,0.63,58.69,EDT,-14400000,EQUITY
FACYF,2019-04-25T02:00:00.000Z,TAS,14.53,11.6,-20.15,EDT,-14400000,EQUITY
CTXS,2019-04-24T16:05:00.000Z,TAS,1.18,1.27,8.09,EDT,-14400000,EQUITY
WCN,2019-04-24T16:05:00.000Z,TAS,0.6,0.62,2.99,EDT,-14400000,EQUITY
GUZOF,2019-04-24T20:00:00.000Z,TAS,0.65,0.55,-15.38,EDT,-14400000,EQUITY
GPOVF,2019-04-24T20:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
CHGCF,2019-04-24T04:00:00.000Z,TAS,18.57,21.34,14.92,EDT,-14400000,EQUITY
CHGCY,2019-04-24T04:00:00.000Z,TAS,18.57,21.34,14.92,EDT,-14400000,EQUITY
NPPGF,2019-04-25T03:45:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SNCVF,2019-04-24T20:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
DSNKY,2019-04-25T00:01:00.000Z,TAS,,7.52,,EDT,-14400000,EQUITY
CVBF,2019-04-24T17:00:00.000Z,TAS,0.35,0.37,6.94,EDT,-14400000,EQUITY
PTALF,2019-04-24T17:06:00.000Z,TAS,,,,EDT,-14400000,EQUITY
HCHMF,2019-04-25T02:00:00.000Z,TAS,31.26,336529120,1076686325.75,UTC,0,EQUITY
OSIIF,2019-04-24T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GPSDF,2019-04-24T17:09:00.000Z,TAS,,,,UTC,0,EQUITY
KN,2019-04-24T16:05:00.000Z,TAS,0.11,0.13,18.18,EDT,-14400000,EQUITY
